Community,Replicate,Plate,mgCO2.7,mgCO2.14,CPM7,CPM14,pgRPC.7,pgRPC.14,ATP1,ATP4,ATP7,ATP14,mG7,mG14,mN7,mN14,mX7,mX14,mP7,mP14
AE112,4,I,0.061209736,0.03200958,181600,746000,0.337058019,0.042908284,490.2,571.4,688.2,501.8,37.6,38.4,6,6,12,11.6,156,91.2
AE113,1,I,0.16478632,0.134126357,490000,37800,0.336298613,3.548316323,10732.4,8847,1108.2,8084.4,4.8,8.8,4.4,5.2,6,6,264.8,1627.2
AE113,2,I,0.482880221,0.574030678,41600,80400,11.60769763,7.139685045,7550.8,10423.2,8883.2,14021.4,8.8,18,4.8,7.2,5.2,4.8,1147.2,709.6
AE113,3,I,0.253056825,0.286849182,124200,305800,2.037494565,0.938028717,8029.4,7154,7997.4,7640.8,30,11.6,4.8,5.2,6.8,6,253.6,1499.6
AE113,4,I,0.095679054,0.06185975,123800,171800,0.772851806,0.360068394,2826.2,10738,4991.4,3290,14.8,8.8,6,5.2,10.4,9.6,1380.8,577.6
AE114,1,I,0.222221694,0.35019358,10000,64600,22.22216943,5.420953254,3846.6,4257.6,1325.8,5002.4,11.2,14,6.8,8,5.6,6,266,1000.8
AE114,2,I,0.641265167,0.548611752,37000,45000,17.33149101,12.19137227,4475.8,4668,4340.8,4301.4,28.8,12.4,8.4,6.8,5.6,5.6,584.8,350.8
AE114,3,I,0.38294447,0.482880221,36200,107000,10.57857651,4.512899264,6300.4,2724.6,5481.2,3602.4,61.2,23.6,6.4,8.4,6.4,6.4,174.8,504.8
AE114,4,I,0.143447611,0.11273277,71400,103800,2.009070184,1.086057518,2379,5433.2,3397,2472,30,17.6,9.2,8.4,12,12,751.2,507.6
AE115,1,I,0.144644568,0.207862105,13600,30200,10.63563001,6.882851156,5347.2,4786.2,478.4,6251.4,5.2,11.2,4.4,4.8,5.2,5.6,100,535.6
AE115,2,I,0.545492254,0.648285405,31000,37200,17.59652431,17.42702702,5550,2236.8,2961,6311.8,11.2,10,4.8,4,4.8,5.2,229.6,285.6
AE115,3,I,0.321629063,0.402615994,11800,30200,27.25670028,13.33165542,5767.6,2732.4,1780,1762.6,17.2,7.2,4.4,6,6,5.2,168.8,246.8
AE115,4,I,0.094789694,0.110737886,705000,37800,0.134453466,2.929573699,2896.8,1873,2530.8,1541,18,20.8,6.4,4.8,10,10,394,255.2
AE117,1,I,0.157011816,0.155742164,30400,24600,5.164862369,6.330982265,4998,22270,1083.2,9623,4.8,17.6,4.4,5.2,4.8,6,43.2,190.4
AE117,2,I,0.385364834,0.438771153,30800,13200,12.51184524,33.24023887,12.8,11.8,11.8,9108.6,4,70.4,6.4,5.6,4.4,9.2,55.6,262.8
AE117,3,I,0.390238476,0.524011087,49600,67200,7.867711214,7.797784033,18.6,15.4,14,13.4,5.2,4.8,4.4,4.4,5.6,5.2,62.8,44
AE117,4,I,0.069340977,0.106824321,22400,108200,3.09557932,0.987285778,8.6,15.2,28.4,69.2,6.8,7.2,5.6,5.6,9.6,8.8,80.4,332.8
AE118,1,I,0.227162466,0.168775422,27000,51400,8.413424685,3.283568515,151.4,5500.4,4267.2,25928.2,4,5.6,4,4.8,4.8,5.6,43.6,120.4
AE118,2,I,0.539291485,0.345685009,87600,81800,6.156295493,4.225978103,8728.4,3658.6,4585,3532.2,34.8,11.2,12.8,9.6,6.8,5.6,174.8,66.8
AE118,3,I,0.517986874,0.454957298,199600,293800,2.595124618,1.548527223,2212.8,3022.4,2906.6,2671.4,25.2,25.2,10,9.6,8.4,6.8,67.6,79.2
AE118,4,I,0.116799739,0.105861662,50400,120400,2.31745513,0.879249681,9.2,14.2,8,54.4,6.8,6.4,5.6,5.6,9.2,9.2,76.8,351.2
AE119,1,I,0.185427506,0.151977423,394600,127600,0.469912585,1.191045635,4366.2,6386.2,1677,6867.6,6,7.6,4.4,4.4,4.8,5.6,169.2,214
AE119,2,I,0.491491513,0.482880221,80400,86800,6.113078517,5.563136189,2698.2,1566,1927.4,5009,10.8,38,4.4,8.8,8,6.8,168.4,188.4
AE119,3,I,0.468769528,0.524011087,258200,426600,1.81552877,1.228342914,4710.4,1007.8,1564.6,1916.6,17.6,18,4.4,4.4,8.4,7.6,77.6,159.6
AE119,4,I,0.0930288,0.13641463,163600,291200,0.568635695,0.468456835,3376,5104.2,2427.2,364.6,22.8,9.6,12,7.6,14.4,10.8,647.2,182
AE120,1,I,0.116799739,0.240723011,223600,216400,0.52236019,1.112398388,5501.4,12703.8,561,9922.6,12,41.2,4.4,4.4,5.2,8.4,168,1852.8
AE120,2,I,0.658918967,0.610347738,65000,181400,10.13721487,3.364651258,3371.4,3768.8,2248.6,3184,20,18.8,4.4,6,9.2,6.4,242.4,64.8
AE120,3,I,0.168775422,0.527041976,195800,611000,0.86197866,0.862589159,3191.4,5842.8,2721.6,1297.2,40,26.4,4.8,4.8,14.4,9.2,71.6,912.4
AE120,4,I,0.113739825,0.077450506,304800,150000,0.373162156,0.516336708,1405.6,2116,1020.6,1406,16.4,17.2,6,4.8,16,14.8,274.8,336.8
AE122,1,I,0.128526349,0.182573707,42200,50600,3.045648072,3.608176022,1584.6,1456.2,760.4,3218.2,6.4,17.6,4.8,4.8,9.6,9.2,162.8,447.2
AE122,2,I,0.52099273,0.590340269,16800,46000,31.01147203,12.83348412,7.4,10.6,7.4,6940.8,4,45.2,4.4,4.8,4.4,5.6,62.4,250
AE122,3,I,0.263984233,0.339000489,99800,233200,2.645132599,1.453689919,4276.2,8003,7167.6,7240,21.2,15.6,5.6,6.4,8,6,77.6,83.2
AE122,4,I,0.077450506,0.062514704,84000,209000,0.922029836,0.299113417,634,5076.4,2653.8,656.2,64.4,11.2,6,4.8,12,9.2,289.2,158.8
AE123,1,I,0.138730794,0.292780355,272600,19400,0.508917071,15.0917709,4785.6,3863.4,1345.8,13816,6.4,26.8,4,5.6,7.6,10.4,104.8,486.4
AE123,2,I,0.506087826,0.764294105,2000,37800,253.043913,20.21942078,6.8,7.4,8,9704.4,4,74.4,4.8,4.8,4.4,6.4,60.4,306
AE123,3,I,0.251267697,0.533141477,80200,153200,3.133013683,3.480035751,9.8,15.4,12.8,43.6,6,16,4.4,6.4,5.6,5.2,66.4,95.6
AE123,4,I,0.095679054,0.107793249,142400,105000,0.671903466,1.026602369,3047.2,6941.8,2907.6,2328.6,15.6,11.6,6.4,5.2,12.4,11.6,171.2,85.2
AE124,1,I,0.148278459,0.181158695,73400,8000,2.020142487,22.64483689,2661.8,8567.2,2252.6,8560.8,4.4,5.6,4.4,4.8,4.8,5.6,45.6,99.2
AE124,2,I,0.438771153,0.600284169,93200,14200,4.70784499,42.27353306,3505,3946.4,2990.6,6444.4,6,24.8,4.8,5.6,4.8,4.8,72.4,80.8
AE124,3,I,0.345685009,0.373372031,75000,156000,4.609133451,2.393410455,1465.8,2347.4,2764.8,3037.8,6.8,6.4,6,10.4,6,6,71.6,67.6
AE124,4,I,0.094789694,0.093906284,129400,85600,0.73253241,1.097036028,269.8,3357.6,3485.2,2590.4,8.8,8.8,6,6,9.2,9.2,132.8,183.6
AE125,1,I,0.12633408,0.155742164,731000,1633000,0.172823639,0.095371809,17.6,19.4,7.2,4127.2,4,179.2,4,4.8,4.8,31.6,35.2,72
AE125,2,I,0.392691815,0.517986874,19800,295400,19.83291997,1.753510067,16.2,15.4,523.4,4829.8,4,63.2,4.8,5.6,4.8,8.4,286,105.6
AE125,3,I,0.296783048,0.341218257,265800,441400,1.116565269,0.773036377,16.8,18.4,17.4,18.2,5.6,4.8,4.4,4.8,6,5.2,66.4,48.8
AE125,4,I,0.0930288,0.084574562,205600,547200,0.452474707,0.154558776,9.8,25.4,17.2,8056.4,6.4,6.4,5.6,6,10,9.2,76.8,185.2
AE127,1,I,0.206308844,0.11273277,87200,56400,2.365927113,1.998807986,4218.8,7707.6,1263,6221.8,6,24,5.2,5.2,4.8,6,193.2,757.2
AE127,2,I,0.517986874,0.497293258,102600,23800,5.048605007,20.8946747,3489.4,3964.6,1115.6,3442.2,6,30.4,5.2,5.6,4.4,5.2,92.8,366
AE127,3,I,0.542385509,0.561217916,45200,132400,11.99967939,4.238806012,5368.6,5432,4166,4060,84.4,39.2,6.8,8,7.6,6,196.4,533.2
AE127,4,I,0.102073209,0.11273277,99000,304800,1.031042513,0.369858171,2449,1986,4377,2660.8,24,28,8,7.6,10.4,9.6,653.6,432
AE128,1,I,0.144644568,0.183996635,94200,55600,1.535504969,3.309291992,2474.4,8028.6,604.2,6931.4,6.8,16.8,5.2,8.8,4.8,5.6,126.4,770.8
AE128,2,I,0.387796159,0.673291066,48200,124000,8.045563465,5.429766662,3898.4,5406.8,1217.4,7271.8,8.8,47.2,6,8.8,4.4,6,94.8,499.2
AE128,3,I,0.256662488,0.352463622,104800,217400,2.449069539,1.621267811,4415.6,1712.2,3699.2,3009.8,64.8,23.2,4.8,6,6.8,5.6,154.4,398
AE128,4,I,0.107793249,0.067239623,100000,202200,1.077932487,0.332540175,1277,3619.6,4097,3283,25.6,54.4,8.8,11.2,10.8,10.8,670,756
AE129,1,I,0.062514704,0.20169905,58400,35000,1.070457262,5.762829987,447.8,4580.4,1465.4,6691.6,4.8,6.8,4.4,5.2,4.8,5.6,60.8,161.6
AE129,2,I,0.417838053,0.912387646,38000,48600,10.99573824,18.77340835,12.8,11,9.8,7139.4,4.4,77.2,4.8,4.8,4.4,6,56,246
AE129,3,I,0.410176336,0.39763168,92000,97600,4.458438439,4.074095079,16.4,11,17,13.4,5.6,5.2,4.4,4.8,6,5.2,63.6,45.2
AE129,4,I,0.058658631,0.084574562,157200,129800,0.373146507,0.65157598,9.6,14,16,1833.2,6.8,60.4,6,6.4,9.6,10,79.2,461.6
AE13,1,H,0.251267697,0.068635364,205200,119800,1.224501449,0.572916229,9049.2,8485,3619.6,5706.2,8,8,5.6,5.6,5.2,6,339.6,364
AE13,2,H,0.410176336,0.245954792,93200,272000,4.401033652,0.904245557,7641.6,5604.8,2891.2,3617.8,7.2,13.2,4.4,4.4,4.4,4.8,174.8,159.2
AE13,3,H,0.218971013,0.227162466,55800,116200,3.9242117,1.954926562,NA,3750,5816.2,3666.2,22,10,6.4,6,6.4,5.6,73.6,75.2
AE13,4,H,0.029253003,0.115773284,492600,315000,0.059384902,0.367534236,3719,2724,2798.8,3088.6,13.2,14,6,6,10.4,10.4,400.4,634
AE130,1,I,0.174201448,0.260304882,104400,22400,1.668596241,11.62075365,380.8,9910.2,3425.4,12476.4,22.8,91.2,4.8,5.2,10.8,17.2,79.2,170.8
AE130,2,I,0.44411981,0.733037026,124800,77800,3.558652321,9.422069744,7925,642.6,1176.2,7807.2,8.4,74.8,5.6,10,4.8,7.6,81.6,901.2
AE130,3,I,0.390238476,0.363972581,112600,254800,3.465705828,1.428463817,5827.8,1892.6,6514.4,6340.2,228.8,76.8,4.4,4.8,13.2,8.4,138,502.4
AE130,4,I,0.098383074,0.088729417,60000,173600,1.639717907,0.511114156,10.2,21.2,12.4,76.8,6.8,6.4,6,7.6,10,9.2,78,360.4
AE131,1,I,0.131865769,0.182573707,130600,7600,1.009691949,24.02285615,4033.8,4409,846.4,3602.8,8.4,8.8,6.8,6.8,6.4,6.4,82.4,231.2
AE131,2,I,0.387796159,0.760335618,30000,19200,12.92653863,39.60081346,8380,5106,2366.4,5768.6,18.4,32,4.4,5.6,5.2,6.4,219.2,449.6
AE131,3,I,0.433468894,0.373372031,17200,41400,25.20167989,9.018648092,6139.6,1726.8,2963.6,2578.8,64,23.6,4.8,4.8,14.4,9.6,99.2,294.4
AE131,4,I,0.072215581,0.083760671,38400,59800,1.880614079,1.400680117,3782.2,15155,6559,2644.6,120.8,34,9.2,8.4,14.8,13.2,947.2,304
AE132,1,I,0.077450506,0.110737886,9200,62400,8.418533288,1.774645606,7530.2,16526.4,3371.6,5770.8,17.2,14,14.4,10,6.4,6.4,682.8,572.8
AE132,2,I,0.176960891,0.673291066,138600,94000,1.276774108,7.162670916,2749.2,13158,3315.8,9262.4,14.4,31.6,4.4,5.2,6.4,6.8,304,806.4
AE132,3,I,0.438771153,0.420414628,18600,55200,23.58984694,7.616207032,2091.8,4267,5758,5194.8,105.6,61.6,4.4,4.8,10.4,8.8,205.2,802
AE132,4,I,0.025271529,0.070767802,3600,431800,7.019869302,0.163890231,2845.8,6501.2,4975,2188,60.8,32,6,6.4,13.2,13.6,1060.4,475.6
AE133,1,I,0.154479898,0.175577278,47200,21400,3.2728792,8.204545704,5025.8,11353.4,1275,10939.6,8.8,180.8,5.6,7.2,8,10,123.2,688
AE133,2,I,0.339000489,0.676918955,800,20000,423.7506115,33.84594774,7760.2,4090.8,1049.2,8481.8,19.2,79.6,4.8,6,5.2,8.4,100.8,512.8
AE133,3,I,0.436114239,0.488608937,63000,137800,6.922448242,3.545783285,7633.4,3098.2,6272.8,4961.4,239.6,99.2,4.8,4.8,11.6,10,119.2,395.2
AE133,4,I,0.070051782,0.072947386,46200,109600,1.516272328,0.665578338,685.6,7899.2,3230.8,326.2,75.2,8.8,5.6,6,13.6,9.2,259.2,249.2
AE134,1,I,0.207862105,0.13526702,11600,9400,17.91914698,14.39010854,6464.4,3703.6,1343,5725.2,25.2,29.6,4.8,6.4,11.6,10.8,376,877.2
AE134,2,I,0.363972581,0.800589246,1400,40200,259.9804148,19.91515538,8.8,10,11.6,7401.6,4.4,78.4,4.4,6,4.4,6.4,61.6,200.8
AE134,3,I,0.583777057,0.567598345,26400,70400,22.11276731,8.062476486,6001,13419.4,9527.6,7615.2,51.2,22.4,6.8,7.2,8.4,6.8,89.6,242
AE134,4,I,0.093906284,0.109750006,22400,114600,4.192244822,0.957678938,3300.2,13422.2,6440.4,2698.4,177.6,30,6.4,6,16,16,1144.8,342
AE135,1,I,0.218971013,0.172833373,227200,94600,0.963780866,1.82699126,8429.8,14818.4,4478.2,14571.6,13.2,27.2,4.4,5.2,6.8,9.2,525.6,977.6
AE135,2,I,0.48003402,0.488608937,174600,42800,2.749335737,11.41609665,7.4,8.2,8.4,10019.2,4,93.2,4.8,4.8,4.4,8.8,62,232.4
AE135,3,I,0.558047086,0.35019358,135000,197200,4.133682119,1.775829514,12,18.6,16.6,11.6,6,5.2,4.4,4.4,5.6,5.2,64.8,48
AE135,4,I,0.117832709,0.11273277,114600,359000,1.028208632,0.314018859,3217.8,18092.2,8072,3384.6,49.2,54.8,7.2,6.8,15.6,14.4,255.6,208
AE136,1,I,0.163471797,0.34344642,21000,97400,7.784371264,3.526143944,4326.4,2575.4,799.4,3769.8,6,8.4,11.2,23.6,5.2,6,41.2,68.4
AE136,2,I,0.580515171,0.833875853,43800,24000,13.25377102,34.74482723,3036.8,1401.8,957.2,5086.8,8.8,26.4,11.6,30,5.6,5.6,66.4,48.8
AE136,3,I,0.232181603,0.509043994,84800,99800,2.737990603,5.100641225,710.4,959.2,1668.4,2179.2,7.2,6,14,16.8,6.4,5.6,78.4,56.8
AE136,4,I,0.138730794,0.103955047,36400,75400,3.811285538,1.378714154,1656.6,2042.2,1113,2499.2,10.4,41.2,13.6,21.6,10.4,12.4,83.2,152.4
AE137,1,I,0.113739825,0.232181603,59200,89600,1.921280831,2.591312535,1060.4,8561.6,965,7438.8,4.4,13.6,4.4,5.2,4.8,5.2,40.4,100.8
AE137,2,I,0.468769528,0.733037026,1800,107800,260.4275158,6.799972412,7900.2,4381.8,1335.4,3705,5.6,8.8,4.8,4.4,4.8,4.8,66,94
AE137,3,I,0.267700769,0.315282753,115800,256400,2.311751031,1.229651923,337.8,2747,2379.2,3350.2,38.8,30.8,4.4,4.4,5.6,5.6,96.8,152.4
